workerid,effort,trial
1265,41,
1265,19,
1265,79,14
1265,69,16
1265,10,21
1265,1,22
1265,1,17
1265,1,24
1265,1,8
1265,1,11
1265,99,5
1265,99,2
1265,1,20
1265,99,4
1265,2,12
1265,99,6
1265,72,10
1265,13,23
1265,2,18
1265,11,9
1265,100,7
1265,0,3
1265,1,19
1265,98,15
1307,10,12
1307,60,15
1307,7,24
1307,24,1
1307,53,19
1307,28,21
1307,33,11
1307,36,4
1307,52,13
1307,38,17
1307,59,14
1307,35,2
1307,26,5
1307,0,3
1307,41,8
1307,92,9
1307,27,6
1307,35,7
1307,69,10
1307,75,16
1307,59,23
1307,60,18
1307,38,20
1307,60,22
1293,39,22
1293,44,4
1293,37,17
1293,41,2
1293,49,20
1293,66,15
1293,46,16
1293,41,11
1293,44,1
1293,33,12
1293,48,10
1293,49,8
1293,46,6
1293,47,19
1293,0,24
1293,52,18
1293,50,23
1293,44,13
1293,50,5
1293,69,9
1293,58,14
1293,0,3
1293,47,21
1293,50,7
1305,73,18
1305,32,13
1305,26,11
1305,87,9
1305,62,16
1305,12,23
1305,64,19
1305,6,1
1305,5,15
1305,0,3
1305,74,21
1305,7,5
1305,58,10
1305,49,24
1305,15,4
1305,23,2
1305,71,20
1305,78,8
1305,73,17
1305,75,14
1305,11,6
1305,68,22
1305,33,12
1305,8,7
1289,4,11
1289,24,10
1289,25,18
1289,49,14
1289,0,3
1289,9,13
1289,16,21
1289,35,16
1289,63,9
1289,21,17
1289,41,15
1289,5,12
1289,8,4
1289,6,5
1289,14,23
1289,31,22
1289,6,1
1289,0,24
1289,39,20
1289,32,8
1289,35,19
1289,7,6
1289,8,2
1289,6,7
1257,10,
1257,10,19
1257,2,24
1257,2,11
1257,74,7
1257,1,17
1257,5,16
1257,5,18
1257,1,22
1257,3,10
1257,59,6
1257,2,8
1257,1,13
1257,2,9
1257,2,12
1257,81,2
1257,85,14
1257,74,5
1257,0,20
1257,60,4
1257,1,3
1257,3,1
1257,2,23
1257,2,21
1269,49,6
1269,57,8
1269,22,12
1269,33,16
1269,8,11
1269,0,3
1269,65,22
1269,5,1
1269,61,17
1269,60,23
1269,91,9
1269,65,5
1269,70,4
1269,60,13
1269,81,14
1269,70,21
1269,33,2
1269,69,15
1269,72,20
1269,31,7
1269,4,24
1269,63,10
1269,45,18
1269,27,19
1256,2,
1256,1,
1256,1,
1256,1,
1256,2,
1256,0,4
1256,17,11
1256,22,17
1256,100,15
1256,54,14
1256,9,10
1256,12,2
1256,12,19
1256,15,16
1256,72,9
1256,15,20
1256,12,13
1256,18,12
1256,11,8
1256,0,24
1256,19,21
1256,15,5
1256,0,3
1256,19,7
1291,28,4
1291,50,13
1291,12,11
1291,30,23
1291,37,14
1291,37,22
1291,39,20
1291,69,15
1291,38,18
1291,79,9
1291,35,2
1291,24,21
1291,23,6
1291,6,12
1291,24,19
1291,0,3
1291,16,1
1291,0,24
1291,17,17
1291,36,10
1291,41,8
1291,20,7
1291,22,5
1291,27,16
1260,83,
1260,98,9
1260,16,12
1260,18,7
1260,1,5
1260,4,1
1260,49,24
1260,98,8
1260,93,21
1260,5,2
1260,1,6
1260,16,4
1260,4,23
1260,97,20
1260,0,15
1260,76,10
1260,100,18
1260,78,16
1260,99,17
1260,99,22
1260,68,11
1260,10,13
1260,2,14
1260,0,3
1309,13,8
1309,14,22
1309,13,19
1309,0,24
1309,31,18
1309,51,7
1309,49,5
1309,40,6
1309,34,15
1309,17,4
1309,47,9
1309,17,13
1309,0,3
1309,14,23
1309,33,2
1309,47,14
1309,12,21
1309,0,12
1309,19,20
1309,17,1
1309,7,16
1309,16,17
1309,3,11
1309,0,10
1303,0,1
1303,0,6
1303,3,18
1303,4,5
1303,11,14
1303,6,19
1303,3,11
1303,50,9
1303,3,12
1303,0,2
1303,2,7
1303,6,17
1303,4,13
1303,0,3
1303,16,20
1303,18,10
1303,3,4
1303,11,21
1303,0,24
1303,9,22
1303,12,16
1303,3,23
1303,7,15
1303,14,8
1292,27,23
1292,47,9
1292,28,18
1292,69,10
1292,18,13
1292,35,5
1292,15,4
1292,35,20
1292,48,16
1292,0,24
1292,47,22
1292,13,1
1292,15,6
1292,35,19
1292,31,8
1292,26,17
1292,0,3
1292,9,2
1292,9,7
1292,9,12
1292,13,21
1292,12,11
1292,36,15
1292,29,14
1296,35,7
1296,47,20
1296,58,15
1296,42,19
1296,61,14
1296,52,23
1296,35,21
1296,33,2
1296,38,18
1296,48,16
1296,42,1
1296,50,22
1296,38,11
1296,5,3
1296,12,13
1296,0,24
1296,54,10
1296,29,6
1296,50,17
1296,37,5
1296,70,9
1296,39,12
1296,45,4
1296,51,8
1261,46,
1261,42,20
1261,1,24
1261,60,14
1261,51,1
1261,38,7
1261,40,22
1261,48,13
1261,53,21
1261,18,4
1261,44,6
1261,52,16
1261,53,23
1261,57,8
1261,45,11
1261,53,3
1261,59,10
1261,61,2
1261,58,5
1261,53,17
1261,53,9
1261,39,15
1261,43,18
1261,45,19
1276,8,11
1276,21,18
1276,10,16
1276,23,14
1276,0,3
1276,54,8
1276,36,22
1276,24,23
1276,23,20
1276,25,2
1276,20,21
1276,26,12
1276,24,5
1276,20,13
1276,31,19
1276,48,15
1276,30,1
1276,29,6
1276,28,17
1276,45,10
1276,28,7
1276,59,9
1276,1,24
1276,27,4
1283,69,10
1283,60,14
1283,29,23
1283,22,7
1283,30,5
1283,52,16
1283,66,9
1283,17,8
1283,23,22
1283,50,6
1283,20,17
1283,29,21
1283,0,24
1283,8,12
1283,10,11
1283,0,3
1283,15,19
1283,19,20
1283,29,1
1283,33,2
1283,32,4
1283,63,13
1283,99,15
1283,29,18
1297,78,
1297,51,
1297,52,
1297,50,
1297,50,
1297,50,
1297,51,
1297,50,
1297,75,14
1297,78,19
1297,26,21
1297,66,22
1297,0,24
1297,62,4
1297,67,20
1297,68,15
1297,50,16
1297,67,18
1297,67,5
1297,10,12
1297,25,10
1297,62,23
1297,69,6
1297,20,11
1255,22,
1255,35,6
1255,1,4
1255,52,10
1255,46,18
1255,32,23
1255,1,22
1255,23,1
1255,42,14
1255,0,3
1255,16,11
1255,50,20
1255,28,16
1255,48,7
1255,49,17
1255,49,8
1255,26,13
1255,27,5
1255,0,24
1255,24,19
1255,8,12
1255,16,2
1255,14,21
1255,100,9
1253,10,
1253,7,
1253,32,10
1253,45,14
1253,10,12
1253,31,16
1253,8,17
1253,9,8
1253,2,24
1253,30,23
1253,12,19
1253,41,15
1253,2,3
1253,33,20
1253,34,7
1253,22,13
1253,39,5
1253,35,4
1253,44,22
1253,34,1
1253,34,11
1253,44,9
1253,5,2
1253,38,18
1273,0,24
1273,77,13
1273,95,9
1273,66,20
1273,79,15
1273,50,23
1273,31,4
1273,0,3
1273,56,21
1273,51,17
1273,18,1
1273,20,5
1273,55,22
1273,20,6
1273,18,2
1273,15,12
1273,11,7
1273,63,19
1273,18,11
1273,67,16
1273,60,14
1273,50,8
1273,66,10
1273,74,18
1271,4,12
1271,2,21
1271,4,7
1271,4,17
1271,14,5
1271,5,11
1271,12,2
1271,38,10
1271,52,19
1271,59,14
1271,25,23
1271,46,22
1271,19,4
1271,5,3
1271,70,1
1271,60,16
1271,79,9
1271,28,20
1271,20,8
1271,50,15
1271,16,18
1271,30,6
1271,13,13
1271,3,24
1280,62,11
1280,69,10
1280,46,23
1280,36,5
1280,39,2
1280,42,7
1280,57,18
1280,0,24
1280,69,19
1280,83,15
1280,62,22
1280,50,17
1280,42,1
1280,86,9
1280,60,12
1280,0,3
1280,50,16
1280,64,14
1280,51,4
1280,51,6
1280,64,8
1280,49,21
1280,58,20
1280,72,13
1287,9,7
1287,16,5
1287,34,10
1287,28,18
1287,23,20
1287,11,1
1287,0,3
1287,17,6
1287,26,14
1287,20,12
1287,26,22
1287,61,9
1287,26,4
1287,25,17
1287,25,13
1287,28,15
1287,17,2
1287,25,19
1287,29,23
1287,0,24
1287,24,8
1287,17,11
1287,19,16
1287,25,21
1268,4,
1268,57,14
1268,64,15
1268,17,21
1268,27,1
1268,27,10
1268,21,8
1268,11,22
1268,37,9
1268,0,3
1268,0,24
1268,53,13
1268,15,12
1268,17,16
1268,24,11
1268,37,19
1268,23,2
1268,37,20
1268,23,23
1268,26,4
1268,20,17
1268,21,18
1268,19,6
1268,34,7
1270,40,22
1270,57,9
1270,15,2
1270,35,4
1270,27,18
1270,44,20
1270,48,5
1270,23,11
1270,41,8
1270,59,16
1270,35,19
1270,35,14
1270,34,21
1270,16,12
1270,42,1
1270,1,24
1270,20,13
1270,61,15
1270,39,7
1270,25,6
1270,1,3
1270,20,10
1270,30,17
1270,43,23
1278,10,
1278,33,5
1278,37,21
1278,49,18
1278,66,10
1278,29,23
1278,9,11
1278,70,20
1278,52,15
1278,5,6
1278,0,24
1278,14,1
1278,0,3
1278,50,17
1278,58,16
1278,50,8
1278,15,7
1278,22,13
1278,16,12
1278,45,14
1278,19,4
1278,22,19
1278,83,9
1278,42,22
1308,51,5
1308,52,7
1308,93,15
1308,60,22
1308,0,3
1308,65,14
1308,95,9
1308,75,23
1308,60,4
1308,76,8
1308,67,11
1308,61,2
1308,17,12
1308,57,1
1308,57,6
1308,74,17
1308,73,10
1308,62,18
1308,37,16
1308,70,19
1308,54,13
1308,66,20
1308,59,21
1308,0,24
1288,20,
1288,58,20
1288,38,2
1288,32,16
1288,73,9
1288,33,7
1288,71,15
1288,34,18
1288,33,5
1288,34,21
1288,37,6
1288,11,12
1288,27,4
1288,22,17
1288,21,1
1288,20,13
1288,47,14
1288,1,24
1288,30,11
1288,35,10
1288,34,22
1288,39,19
1288,42,8
1288,46,23
1279,56,16
1279,33,4
1279,21,5
1279,38,23
1279,77,18
1279,24,21
1279,100,9
1279,0,24
1279,16,12
1279,47,14
1279,29,2
1279,69,10
1279,0,3
1279,25,7
1279,48,19
1279,89,15
1279,63,22
1279,46,6
1279,62,20
1279,43,8
1279,18,11
1279,10,1
1279,50,17
1279,74,13
1282,16,
1282,18,7
1282,23,21
1282,28,18
1282,17,1
1282,25,17
1282,22,13
1282,15,4
1282,11,12
1282,28,22
1282,13,6
1282,30,16
1282,1,24
1282,16,2
1282,15,14
1282,11,5
1282,34,15
1282,0,3
1282,32,19
1282,14,23
1282,29,20
1282,39,9
1282,9,11
1282,20,8
1277,17,21
1277,5,12
1277,37,18
1277,24,5
1277,4,3
1277,28,7
1277,5,24
1277,25,17
1277,26,22
1277,44,20
1277,14,1
1277,42,14
1277,73,9
1277,38,8
1277,55,10
1277,33,23
1277,31,13
1277,66,15
1277,38,4
1277,37,16
1277,34,19
1277,29,6
1277,29,11
1277,25,2
1267,2,
1267,0,
1267,0,16
1267,0,3
1267,24,14
1267,28,5
1267,26,2
1267,51,8
1267,25,1
1267,48,22
1267,27,12
1267,51,10
1267,47,11
1267,34,13
1267,0,24
1267,45,17
1267,51,18
1267,50,21
1267,25,7
1267,77,15
1267,27,4
1267,50,20
1267,25,6
1267,100,9
1302,16,1
1302,2,5
1302,45,18
1302,30,19
1302,87,10
1302,26,7
1302,47,16
1302,27,23
1302,42,13
1302,91,9
1302,22,17
1302,19,8
1302,19,20
1302,23,22
1302,5,6
1302,8,2
1302,0,24
1302,17,15
1302,14,4
1302,0,11
1302,0,3
1302,9,21
1302,7,12
1302,32,14
1275,37,
1275,55,4
1275,43,5
1275,54,22
1275,47,20
1275,60,10
1275,12,12
1275,60,15
1275,42,21
1275,35,6
1275,46,11
1275,0,24
1275,50,7
1275,2,3
1275,47,2
1275,66,9
1275,48,17
1275,45,18
1275,57,14
1275,56,16
1275,52,8
1275,47,1
1275,49,19
1275,54,23
1290,29,
1290,51,22
1290,49,16
1290,52,13
1290,69,9
1290,51,18
1290,62,14
1290,38,4
1290,50,8
1290,45,1
1290,63,10
1290,49,5
1290,38,11
1290,2,3
1290,0,24
1290,57,17
1290,52,19
1290,34,6
1290,53,15
1290,50,7
1290,48,12
1290,58,20
1290,60,21
1290,58,23
1299,9,
1299,19,
1299,38,23
1299,12,4
1299,17,12
1299,0,3
1299,40,18
1299,24,13
1299,47,14
1299,1,24
1299,14,11
1299,58,8
1299,34,6
1299,49,19
1299,30,5
1299,75,9
1299,22,21
1299,38,15
1299,55,22
1299,11,1
1299,28,10
1299,29,17
1299,19,16
1299,36,20
1262,51,9
1262,14,20
1262,20,14
1262,0,11
1262,0,24
1262,4,1
1262,0,3
1262,42,8
1262,20,13
1262,3,7
1262,2,6
1262,7,5
1262,4,16
1262,57,12
1262,45,18
1262,47,22
1262,54,19
1262,0,15
1262,59,21
1262,54,17
1262,60,23
1262,7,2
1262,21,10
1262,3,4
1272,30,
1272,0,3
1272,99,18
1272,81,17
1272,99,15
1272,68,23
1272,0,24
1272,25,13
1272,99,20
1272,25,11
1272,37,4
1272,72,21
1272,0,12
1272,98,9
1272,55,7
1272,47,5
1272,100,16
1272,100,14
1272,31,6
1272,58,19
1272,0,1
1272,99,10
1272,58,22
1272,42,2
1266,52,23
1266,28,13
1266,34,17
1266,28,4
1266,15,1
1266,25,2
1266,100,9
1266,23,7
1266,12,11
1266,22,6
1266,35,18
1266,62,15
1266,43,8
1266,0,3
1266,45,22
1266,44,14
1266,0,24
1266,44,19
1266,51,10
1266,25,5
1266,40,16
1266,20,21
1266,46,20
1266,8,12
1295,84,
1295,81,
1295,79,
1295,75,
1295,23,23
1295,71,8
1295,61,16
1295,68,20
1295,51,6
1295,75,14
1295,77,15
1295,78,22
1295,42,13
1295,72,10
1295,1,24
1295,75,17
1295,11,1
1295,18,5
1295,32,21
1295,78,19
1295,66,11
1295,1,3
1295,19,7
1295,9,12
1306,29,19
1306,10,23
1306,6,11
1306,0,3
1306,11,22
1306,46,9
1306,5,12
1306,6,6
1306,9,16
1306,5,21
1306,6,4
1306,0,24
1306,5,2
1306,4,1
1306,4,5
1306,9,18
1306,38,15
1306,10,7
1306,20,10
1306,8,17
1306,16,14
1306,16,13
1306,14,20
1306,6,8
1258,20,13
1258,4,1
1258,19,23
1258,60,22
1258,25,4
1258,60,17
1258,1,24
1258,1,11
1258,31,10
1258,50,19
1258,21,6
1258,44,20
1258,58,18
1258,49,12
1258,2,3
1258,31,16
1258,69,5
1258,52,8
1258,51,15
1258,99,9
1258,60,14
1258,69,7
1258,49,2
1258,25,21
1301,59,
1301,30,14
1301,54,5
1301,8,6
1301,7,1
1301,19,7
1301,16,2
1301,2,24
1301,58,18
1301,7,12
1301,66,17
1301,68,20
1301,62,8
1301,51,10
1301,32,15
1301,36,11
1301,72,22
1301,29,13
1301,77,9
1301,9,4
1301,0,3
1301,75,21
1301,14,16
1301,78,23
1300,75,21
1300,1,24
1300,79,10
1300,46,7
1300,93,9
1300,69,17
1300,51,13
1300,39,12
1300,35,5
1300,31,2
1300,68,8
1300,1,3
1300,69,15
1300,55,14
1300,68,23
1300,69,22
1300,62,16
1300,42,6
1300,62,19
1300,57,1
1300,62,11
1300,71,18
1300,67,20
1300,38,4
1281,60,
1281,15,12
1281,0,24
1281,6,11
1281,81,16
1281,64,23
1281,75,22
1281,84,19
1281,78,10
1281,69,17
1281,65,18
1281,63,21
1281,63,9
1281,20,5
1281,52,6
1281,74,14
1281,72,4
1281,68,2
1281,86,15
1281,59,13
1281,44,8
1281,81,1
1281,26,3
1281,77,20
1274,37,
1274,25,1
1274,81,2
1274,67,5
1274,79,11
1274,96,13
1274,94,20
1274,22,4
1274,13,14
1274,94,24
1274,22,15
1274,91,12
1274,87,8
1274,88,17
1274,92,23
1274,99,22
1274,95,18
1274,2,6
1274,9,3
1274,94,21
1274,53,10
1274,96,19
1274,97,9
1274,6,7
1252,32,23
1252,41,10
1252,10,12
1252,35,6
1252,35,19
1252,30,16
1252,29,1
1252,35,17
1252,35,21
1252,29,4
1252,35,20
1252,36,2
1252,66,9
1252,36,15
1252,1,11
1252,33,18
1252,28,7
1252,28,22
1252,29,5
1252,28,8
1252,1,24
1252,24,14
1252,21,13
1252,1,3
1263,5,
1263,50,14
1263,13,10
1263,66,9
1263,0,24
1263,30,13
1263,74,20
1263,3,1
1263,47,8
1263,71,15
1263,9,7
1263,11,5
1263,71,21
1263,65,19
1263,18,2
1263,0,3
1263,23,16
1263,9,4
1263,50,23
1263,16,6
1263,19,12
1263,69,17
1263,75,18
1263,20,11
1298,98,
1298,98,17
1298,34,12
1298,88,10
1298,31,11
1298,46,1
1298,34,6
1298,83,14
1298,69,19
1298,57,5
1298,59,8
1298,59,22
1298,59,20
1298,56,2
1298,52,7
1298,57,21
1298,43,15
1298,0,3
1298,42,4
1298,0,24
1298,83,9
1298,67,18
1298,41,16
1298,37,13