workerid,resp_blue,resp_red,trial
1465,6,63,1
1456,95,4,1
1481,70,84,1
1441,100,0,1
1444,0,100,1
1467,1,71,1
1472,27,74,1
1447,99,35,1
1486,2,91,1
1439,98,29,1
1485,64,72,1
1443,66,57,1
1482,1,98,1
1461,26,82,1
1463,8,89,1
1491,50,50,1
1480,49,48,1
1449,85,77,1
1460,1,99,1
1462,65,50,1
1448,73,71,1
1445,26,20,1
1475,6,100,1
1469,20,75,1
1477,19,74,1
1495,84,37,1
1493,76,76,1
1474,9,95,1
1457,24,62,1
1452,0,100,1
1464,0,100,1
1483,5,97,1
1451,0,98,1
1473,1,99,1
1470,1,80,1
1454,62,67,1
1438,64,73,1
1488,63,44,1
1494,5,79,1
1466,28,88,1
1490,36,84,1
1458,96,42,1
1442,88,72,1
1476,99,97,1
1446,0,98,1
1484,11,100,1
1487,0,100,1
1492,15,100,1
1440,0,100,1
1465,97,45,2
1456,98,4,2
1481,97,81,2
1441,100,29,2
1444,100,29,2
1467,99,99,2
1472,86,70,2
1447,93,63,2
1450,100,29,2
1486,100,50,2
1439,100,1,2
1485,98,76,2
1443,62,77,2
1482,89,88,2
1461,95,89,2
1463,76,49,2
1491,93,53,2
1480,99,100,2
1449,4,95,2
1460,80,36,2
1448,100,22,2
1445,79,61,2
1475,100,51,2
1477,77,68,2
1495,92,89,2
1474,99,89,2
1457,65,48,2
1452,80,71,2
1464,100,100,2
1483,98,90,2
1451,99,99,2
1473,0,97,2
1470,2,99,2
1454,52,56,2
1438,93,61,2
1494,83,94,2
1466,100,100,2
1490,91,72,2
1458,99,22,2
1442,97,49,2
1476,100,78,2
1446,99,98,2
1484,100,57,2
1487,100,100,2
1492,100,53,2
1440,100,100,2
1465,48,71,3
1456,83,25,3
1481,72,78,3
1441,0,100,3
1444,100,14,3
1467,99,3,3
1472,73,16,3
1447,73,65,3
1486,0,90,3
1439,53,92,3
1485,52,52,3
1482,74,73,3
1461,69,59,3
1463,9,87,3
1491,0,100,3
1480,52,31,3
1449,85,86,3
1460,21,81,3
1462,57,56,3
1448,51,65,3
1445,52,50,3
1475,0,100,3
1469,11,85,3
1477,14,58,3
1495,84,71,3
1493,24,60,3
1474,22,82,3
1457,27,57,3
1452,62,63,3
1464,100,0,3
1451,1,100,3
1473,70,68,3
1470,4,96,3
1454,59,45,3
1438,43,72,3
1488,2,99,3
1494,45,98,3
1466,13,86,3
1490,7,74,3
1458,51,51,3
1442,97,15,3
1476,24,99,3
1446,1,98,3
1484,14,100,3
1487,0,100,3
1492,0,100,3
1440,26,100,3
1465,100,88,4
1456,98,2,4
1441,100,87,4
1444,88,45,4
1472,69,52,4
1447,90,73,4
1486,100,48,4
1439,100,55,4
1485,74,50,4
1443,61,67,4
1482,85,84,4
1461,76,82,4
1463,77,36,4
1491,78,52,4
1449,1,99,4
1460,53,54,4
1462,78,58,4
1448,49,53,4
1445,87,88,4
1475,100,50,4
1469,95,99,4
1477,86,89,4
1495,74,74,4
1493,76,64,4
1474,99,80,4
1457,64,63,4
1452,71,72,4
1464,100,100,4
1483,97,95,4
1451,100,100,4
1473,98,100,4
1470,98,71,4
1454,66,41,4
1438,84,53,4
1488,56,55,4
1494,10,68,4
1466,83,70,4
1490,94,54,4
1458,98,39,4
1442,100,74,4
1476,100,79,4
1446,69,51,4
1484,100,96,4
1487,100,78,4
1492,100,49,4
1440,100,80,4
1465,97,0,5
1456,5,92,5
1481,98,71,5
1441,100,0,5
1444,100,15,5
1467,89,53,5
1472,81,30,5
1447,91,24,5
1450,100,11,5
1486,100,0,5
1439,100,51,5
1485,100,7,5
1443,85,57,5
1482,99,1,5
1461,97,2,5
1463,94,3,5
1491,100,0,5
1480,99,1,5
1449,53,97,5
1460,96,0,5
1462,63,48,5
1448,91,22,5
1445,86,19,5
1475,100,0,5
1469,99,1,5
1477,93,0,5
1495,98,3,5
1493,92,9,5
1474,100,16,5
1457,67,33,5
1452,96,10,5
1464,100,0,5
1483,97,34,5
1451,98,2,5
1473,15,19,5
1470,100,3,5
1454,95,29,5
1438,77,23,5
1494,100,13,5
1466,81,15,5
1490,99,50,5
1458,96,39,5
1442,98,34,5
1476,77,100,5
1446,99,2,5
1484,96,43,5
1487,97,0,5
1492,100,0,5
1440,100,0,5
1465,42,68,6
1456,90,13,6
1481,3,98,6
1441,0,100,6
1444,0,100,6
1467,13,99,6
1472,56,68,6
1447,51,92,6
1486,0,99,6
1439,57,68,6
1485,49,70,6
1443,20,68,6
1482,24,91,6
1461,79,85,6
1463,19,84,6
1491,1,100,6
1449,6,97,6
1460,19,84,6
1462,28,81,6
1448,31,58,6
1445,29,64,6
1475,0,100,6
1469,0,100,6
1477,15,97,6
1495,0,100,6
1493,20,88,6
1474,3,98,6
1457,2,98,6
1452,14,84,6
1464,100,100,6
1483,23,94,6
1451,1,99,6
1473,17,100,6
1470,0,98,6
1438,56,73,6
1488,2,99,6
1494,18,85,6
1466,5,88,6
1490,0,95,6
1458,48,96,6
1442,6,95,6
1476,21,100,6
1484,0,100,6
1487,54,100,6
1492,10,100,6
1440,12,100,6
1465,0,100,7
1456,94,3,7
1481,2,97,7
1441,19,97,7
1444,67,42,7
1467,1,99,7
1472,49,73,7
1447,30,90,7
1450,5,100,7
1486,2,100,7
1485,34,35,7
1443,77,71,7
1482,8,92,7
1461,38,83,7
1463,25,73,7
1491,0,100,7
1480,1,99,7
1449,10,100,7
1460,52,33,7
1462,38,75,7
1448,57,49,7
1445,39,68,7
1475,0,100,7
1469,2,99,7
1477,19,73,7
1495,8,82,7
1493,30,57,7
1474,13,91,7
1457,7,86,7
1452,69,64,7
1464,100,99,7
1483,13,77,7
1451,1,99,7
1473,70,95,7
1470,17,97,7
1488,2,93,7
1494,93,18,7
1466,16,88,7
1490,72,79,7
1458,48,47,7
1442,6,97,7
1476,78,99,7
1446,49,49,7
1484,49,44,7
1487,41,49,7
1492,20,63,7
1440,63,100,7
1465,64,59,8
1456,97,6,8
1481,99,98,8
1441,100,86,8
1444,87,45,8
1467,77,64,8
1472,89,89,8
1447,88,70,8
1486,99,52,8
1439,100,89,8
1485,93,59,8
1443,83,71,8
1482,91,91,8
1461,94,90,8
1463,85,81,8
1491,81,59,8
1480,96,99,8
1449,2,99,8
1460,79,20,8
1462,79,48,8
1448,84,55,8
1445,89,77,8
1475,100,50,8
1469,60,80,8
1477,81,58,8
1495,82,68,8
1493,86,67,8
1474,99,72,8
1457,72,76,8
1452,85,56,8
1464,100,100,8
1483,92,90,8
1451,98,99,8
1473,40,88,8
1470,100,77,8
1454,71,46,8
1438,77,43,8
1488,56,51,8
1494,39,59,8
1466,87,70,8
1490,72,62,8
1458,89,28,8
1442,98,66,8
1476,100,84,8
1446,95,78,8
1484,100,100,8
1487,100,94,8
1492,98,71,8
1440,100,100,8
1465,20,77,9
1456,99,1,9
1481,3,97,9
1441,52,98,9
1444,50,92,9
1467,3,99,9
1472,52,67,9
1450,7,99,9
1486,12,96,9
1485,18,91,9
1443,30,58,9
1482,45,95,9
1461,58,88,9
1463,19,83,9
1491,0,100,9
1449,12,98,9
1460,1,89,9
1462,77,71,9
1448,79,50,9
1445,88,71,9
1475,0,100,9
1469,3,97,9
1477,20,97,9
1495,25,84,9
1493,32,86,9
1474,22,99,9
1457,3,90,9
1452,35,80,9
1464,100,100,9
1483,3,98,9
1451,1,99,9
1473,0,98,9
1470,16,89,9
1454,81,45,9
1438,47,68,9
1488,2,99,9
1494,0,99,9
1466,33,88,9
1490,0,99,9
1458,67,69,9
1442,8,99,9
1476,99,89,9
1446,19,96,9
1484,0,100,9
1487,25,100,9
1492,0,98,9
1440,49,100,9
1465,67,85,10
1456,100,0,10
1481,75,81,10
1441,100,90,10
1444,100,100,10
1467,12,99,10
1472,71,64,10
1447,81,68,10
1450,100,55,10
1486,91,52,10
1439,100,69,10
1485,56,56,10
1443,53,69,10
1482,83,82,10
1461,91,85,10
1463,80,80,10
1491,88,58,10
1480,99,99,10
1449,1,99,10
1460,53,51,10
1462,70,48,10
1445,83,82,10
1475,52,50,10
1469,44,94,10
1477,81,83,10
1495,57,44,10
1493,67,72,10
1474,99,80,10
1457,49,70,10
1452,80,74,10
1464,100,100,10
1483,92,90,10
1451,99,99,10
1473,31,99,10
1470,98,23,10
1454,56,68,10
1438,88,56,10
1488,50,49,10
1494,72,82,10
1466,80,58,10
1490,53,74,10
1458,46,77,10
1442,100,75,10
1476,100,80,10
1446,27,92,10
1484,17,65,10
1487,8,97,10
1492,100,73,10
1465,0,100,11
1456,6,84,11
1481,56,86,11
1441,100,15,11
1444,76,77,11
1467,86,1,11
1472,71,71,11
1447,82,81,11
1450,36,100,11
1486,0,72,11
1439,61,81,11
1485,58,84,11
1443,42,75,11
1482,74,77,11
1461,1,92,11
1463,20,75,11
1491,13,80,11
1480,63,61,11
1460,51,58,11
1462,57,72,11
1448,69,71,11
1445,36,66,11
1475,0,100,11
1469,0,100,11
1477,17,59,11
1495,7,89,11
1493,78,56,11
1474,100,39,11
1457,11,71,11
1452,8,92,11
1464,58,95,11
1483,70,40,11
1451,1,99,11
1473,100,1,11
1470,53,65,11
1454,20,19,11
1438,25,25,11
1488,6,99,11
1494,19,99,11
1466,97,94,11
1490,42,64,11
1458,49,50,11
1442,3,20,11
1476,18,100,11
1446,1,82,11
1484,12,96,11
1487,0,100,11
1492,100,41,11
1440,0,100,11
1465,11,18,12
1456,8,80,12
1481,0,100,12
1441,80,13,12
1444,37,100,12
1467,44,48,12
1472,37,51,12
1447,74,71,12
1450,100,17,12
1486,0,77,12
1439,73,77,12
1485,70,70,12
1443,24,71,12
1482,54,73,12
1461,4,91,12
1463,22,83,12
1491,0,100,12
1480,1,1,12
1449,79,79,12
1460,0,99,12
1462,33,78,12
1448,68,91,12
1445,45,47,12
1475,0,100,12
1469,7,29,12
1477,13,65,12
1495,79,66,12
1493,38,68,12
1474,48,73,12
1457,18,86,12
1452,4,92,12
1464,1,100,12
1483,19,27,12
1451,2,99,12
1473,54,56,12
1470,19,83,12
1454,30,91,12
1438,34,27,12
1488,11,89,12
1494,67,89,12
1466,4,100,12
1490,44,60,12
1458,47,47,12
1442,52,70,12
1476,10,99,12
1446,2,99,12
1484,20,100,12
1487,3,99,12
1492,0,100,12
1440,12,84,12
1465,0,95,13
1481,6,92,13
1441,15,100,13
1444,0,100,13
1472,36,85,13
1447,83,83,13
1450,6,98,13
1486,0,100,13
1439,81,84,13
1485,26,80,13
1443,51,65,13
1482,12,93,13
1461,31,91,13
1463,18,88,13
1491,0,100,13
1480,6,99,13
1449,3,99,13
1460,8,82,13
1462,65,52,13
1448,40,49,13
1445,46,64,13
1475,0,100,13
1469,18,100,13
1477,8,92,13
1495,5,100,13
1493,28,74,13
1474,40,100,13
1457,14,78,13
1452,49,85,13
1464,62,100,13
1483,83,83,13
1451,1,99,13
1473,81,79,13
1470,8,90,13
1454,64,70,13
1438,51,51,13
1488,6,92,13
1494,4,84,13
1466,15,82,13
1490,35,90,13
1458,89,43,13
1442,47,94,13
1476,0,99,13
1446,51,51,13
1484,0,92,13
1487,0,100,13
1492,0,89,13
1440,0,100,13
1465,6,100,14
1456,3,3,14
1481,21,98,14
1441,0,100,14
1444,64,75,14
1467,1,99,14
1472,45,55,14
1447,89,76,14
1450,42,100,14
1486,6,94,14
1439,0,100,14
1485,50,86,14
1482,1,99,14
1461,3,94,14
1463,22,84,14
1491,0,100,14
1480,1,99,14
1449,80,41,14
1460,1,80,14
1462,1,79,14
1448,36,94,14
1445,40,47,14
1475,0,100,14
1469,4,90,14
1477,27,74,14
1495,3,93,14
1493,45,57,14
1474,59,94,14
1457,16,76,14
1452,18,94,14
1464,0,100,14
1483,5,95,14
1451,80,78,14
1473,17,99,14
1470,6,98,14
1454,34,75,14
1488,6,99,14
1494,6,100,14
1466,0,100,14
1490,5,86,14
1458,49,86,14
1442,87,26,14
1446,36,98,14
1484,3,100,14
1487,0,100,14
1440,49,82,14
1465,11,95,15
1456,3,2,15
1481,2,100,15
1441,0,100,15
1444,0,100,15
1467,2,100,15
1472,24,81,15
1447,72,66,15
1450,9,100,15
1486,0,84,15
1439,0,100,15
1485,0,93,15
1482,5,93,15
1461,30,86,15
1463,10,81,15
1491,0,100,15
1480,1,99,15
1449,5,95,15
1460,0,95,15
1462,25,52,15
1448,41,84,15
1475,1,100,15
1469,29,70,15
1477,7,91,15
1495,1,100,15
1493,5,92,15
1474,12,100,15
1457,5,87,15
1452,5,93,15
1464,0,100,15
1483,2,93,15
1451,1,100,15
1473,15,100,15
1470,8,88,15
1454,7,96,15
1438,17,89,15
1488,1,98,15
1494,0,96,15
1466,5,31,15
1490,9,94,15
1458,49,46,15
1442,7,90,15
1476,29,100,15
1446,2,83,15
1484,11,100,15
1487,0,100,15
1492,0,100,15
1440,0,89,15
1465,100,57,16
1456,99,2,16
1481,100,92,16
1441,100,100,16
1444,100,100,16
1467,79,39,16
1472,81,62,16
1447,95,68,16
1450,100,47,16
1486,94,50,16
1439,99,89,16
1485,67,50,16
1443,79,63,16
1461,86,86,16
1463,70,64,16
1491,64,56,16
1480,97,98,16
1449,8,96,16
1460,56,55,16
1462,74,56,16
1448,39,51,16
1445,67,65,16
1475,100,51,16
1469,94,96,16
1477,87,85,16
1495,90,83,16
1493,81,34,16
1474,99,79,16
1457,84,54,16
1452,81,55,16
1464,100,100,16
1483,98,95,16
1451,99,99,16
1473,89,13,16
1454,82,48,16
1438,84,54,16
1488,55,53,16
1494,100,100,16
1466,100,100,16
1490,94,75,16
1458,99,42,16
1442,96,64,16
1476,100,91,16
1446,84,82,16
1484,100,100,16
1487,100,100,16
1492,100,65,16
1440,100,100,16
1465,98,0,17
1456,87,6,17
1481,98,18,17
1441,98,81,17
1444,100,5,17
1467,99,24,17
1472,73,21,17
1486,100,0,17
1439,98,22,17
1485,99,5,17
1482,93,6,17
1461,94,25,17
1463,89,5,17
1491,100,0,17
1480,75,11,17
1449,86,66,17
1460,99,1,17
1462,79,33,17
1448,91,23,17
1445,72,33,17
1475,100,0,17
1469,100,1,17
1477,84,3,17
1495,100,0,17
1493,86,19,17
1474,99,24,17
1457,57,15,17
1452,100,0,17
1464,100,0,17
1451,99,1,17
1473,88,93,17
1470,97,10,17
1454,91,15,17
1438,80,34,17
1488,72,59,17
1494,100,0,17
1466,100,26,17
1490,94,31,17
1458,100,47,17
1442,97,12,17
1476,99,83,17
1446,98,32,17
1484,100,0,17
1487,100,6,17
1492,100,13,17
1440,100,0,17
1465,0,100,18
1481,1,97,18
1441,0,98,18
1444,0,100,18
1467,1,97,18
1472,51,87,18
1447,28,95,18
1450,7,100,18
1486,0,100,18
1439,22,61,18
1485,8,88,18
1482,1,100,18
1461,14,93,18
1463,14,76,18
1491,0,100,18
1480,0,99,18
1449,7,94,18
1460,2,100,18
1462,41,88,18
1448,33,75,18
1445,20,76,18
1475,0,100,18
1469,0,99,18
1477,13,87,18
1495,0,99,18
1493,0,100,18
1474,1,100,18
1457,1,89,18
1452,0,100,18
1464,79,100,18
1483,92,90,18
1451,1,100,18
1473,1,98,18
1470,2,100,18
1454,14,38,18
1438,1,88,18
1488,1,99,18
1494,0,98,18
1466,2,100,18
1490,13,96,18
1458,32,73,18
1442,4,98,18
1476,2,100,18
1446,2,98,18
1484,23,82,18
1487,0,100,18
1492,0,78,18
1440,0,100,18
1465,0,96,19
1456,94,4,19
1481,2,99,19
1441,0,100,19
1444,0,100,19
1467,20,99,19
1472,50,78,19
1447,8,98,19
1450,7,100,19
1486,9,100,19
1439,0,100,19
1485,17,83,19
1443,11,66,19
1482,44,93,19
1461,65,88,19
1463,10,84,19
1491,0,100,19
1480,2,99,19
1449,3,97,19
1460,8,92,19
1462,36,99,19
1448,29,66,19
1445,28,67,19
1475,0,100,19
1469,5,98,19
1477,14,69,19
1495,1,99,19
1493,8,80,19
1474,2,100,19
1457,18,87,19
1452,9,100,19
1464,100,100,19
1483,72,95,19
1451,0,100,19
1473,1,95,19
1470,1,98,19
1454,50,62,19
1438,2,99,19
1488,2,99,19
1494,4,88,19
1466,4,100,19
1490,0,100,19
1458,83,36,19
1442,6,94,19
1446,2,98,19
1484,0,100,19
1487,0,100,19
1492,8,98,19
1440,51,100,19
1465,18,69,20
1456,1,100,20
1481,97,51,20
1441,100,8,20
1444,100,7,20
1467,0,100,20
1472,89,35,20
1447,82,18,20
1450,74,100,20
1486,95,7,20
1485,94,46,20
1482,15,88,20
1461,95,10,20
1463,13,80,20
1491,100,0,20
1480,1,99,20
1449,2,99,20
1460,71,49,20
1462,64,80,20
1448,96,17,20
1445,70,28,20
1475,100,18,20
1469,99,19,20
1477,83,4,20
1495,95,35,20
1493,76,17,20
1474,80,22,20
1457,50,50,20
1464,100,0,20
1483,6,92,20
1451,0,99,20
1473,18,85,20
1470,100,46,20
1454,93,26,20
1488,60,63,20
1494,0,100,20
1466,100,79,20
1490,72,90,20
1458,14,98,20
1442,50,88,20
1476,86,100,20
1446,88,1,20
1484,100,100,20
1487,98,23,20
1492,100,0,20
1440,100,0,20
1465,0,100,21
1456,98,6,21
1481,0,99,21
1441,100,100,21
1444,49,82,21
1472,38,77,21
1447,33,94,21
1450,7,100,21
1486,12,99,21
1439,0,92,21
1485,26,76,21
1443,20,69,21
1482,47,97,21
1461,55,92,21
1463,3,87,21
1491,2,100,21
1480,1,99,21
1449,2,99,21
1460,2,96,21
1462,36,87,21
1448,12,82,21
1445,60,60,21
1475,0,100,21
1469,1,100,21
1477,3,78,21
1495,4,100,21
1493,27,80,21
1474,32,100,21
1457,5,97,21
1452,29,91,21
1464,100,100,21
1483,14,88,21
1451,2,99,21
1473,1,100,21
1470,1,98,21
1454,81,48,21
1438,10,86,21
1488,2,100,21
1494,58,67,21
1466,78,60,21
1490,51,93,21
1458,79,53,21
1476,86,100,21
1446,22,84,21
1484,0,100,21
1487,79,100,21
1492,22,83,21
1440,100,100,21
1456,3,100,22
1481,1,98,22
1444,10,100,22
1467,1,99,22
1472,0,100,22
1447,71,74,22
1450,10,100,22
1439,0,100,22
1485,0,89,22
1443,15,77,22
1482,2,100,22
1461,3,93,22
1463,4,95,22
1491,0,100,22
1480,1,99,22
1449,10,99,22
1460,5,73,22
1462,38,57,22
1448,4,96,22
1445,33,76,22
1475,0,100,22
1469,5,94,22
1477,3,91,22
1495,53,61,22
1493,54,28,22
1474,71,75,22
1457,6,42,22
1452,11,92,22
1464,100,100,22
1483,2,97,22
1451,2,100,22
1473,15,93,22
1454,3,96,22
1438,24,22,22
1488,14,89,22
1494,27,96,22
1466,64,87,22
1458,31,97,22
1442,5,97,22
1476,15,100,22
1446,20,88,22
1484,2,100,22
1487,29,79,22
1492,0,100,22
1440,49,50,22
1465,100,0,23
1456,78,41,23
1481,97,14,23
1441,99,0,23
1444,100,23,23
1467,99,2,23
1472,78,41,23
1450,78,100,23
1486,100,0,23
1439,100,63,23
1485,89,71,23
1443,63,71,23
1482,77,65,23
1461,96,4,23
1463,90,16,23
1491,100,0,23
1480,13,99,23
1449,99,97,23
1460,99,0,23
1462,64,39,23
1448,92,31,23
1445,69,19,23
1475,100,0,23
1469,99,3,23
1477,94,4,23
1495,100,5,23
1493,82,23,23
1474,82,15,23
1457,93,5,23
1452,92,8,23
1464,100,0,23
1483,95,19,23
1451,99,1,23
1473,20,99,23
1470,92,20,23
1454,84,39,23
1438,70,45,23
1488,66,36,23
1494,100,0,23
1466,100,26,23
1490,95,58,23
1442,98,18,23
1476,98,93,23
1446,95,4,23
1484,74,28,23
1487,94,0,23
1492,100,0,23
1440,98,2,23
1465,20,63,24
1456,3,96,24
1481,0,98,24
1441,2,98,24
1444,29,88,24
1467,72,99,24
1472,48,77,24
1447,56,77,24
1450,12,100,24
1486,9,99,24
1439,21,69,24
1485,55,91,24
1443,32,62,24
1482,69,92,24
1461,77,87,24
1491,7,100,24
1480,0,99,24
1449,3,97,24
1460,3,80,24
1462,36,96,24
1448,49,54,24
1445,44,79,24
1469,4,99,24
1477,6,92,24
1495,0,99,24
1493,37,76,24
1474,5,98,24
1452,56,67,24
1464,100,100,24
1483,60,97,24
1451,1,100,24
1473,31,71,24
1470,2,99,24
1454,68,78,24
1438,6,93,24
1488,2,99,24
1494,21,73,24
1466,0,100,24
1490,8,100,24
1458,82,42,24
1442,51,96,24
1476,1,100,24
1446,3,99,24
1484,8,100,24
1487,100,91,24
1492,0,100,24
1440,1,100,24